,priority,NCommentT,NActor,meanCommentSize,ticketCleanedBodyLen,nticketsByCreatorOpen,nClosedticketsByCreatorOpen,nCommentsByCreator,NCommentByActorsT,NticketsCreatedInProject,NticketsCreatedInProjectT,NticketsCreatedInProjectClosed,NticketsCreatedInProjectClosedT,NActivityInProject,NActivityInProjectT,chainLength,longTimeHold,lateTriageDays,InitialActivityCount,InitialActionCount,recentActionCount,recentActivityCount,activitysequence,projectCoverage,OOSLA
1177,1,6,5,18.83333333,30,1,1,1,7,35,3,35,3,1281,84,0,0,2,1.333333333,0.066666667,0.26666666699999997,1.333333333,0.053224266,0.032966185,0
1178,1,4,5,40.25,63,0,0,78,9,15,8,15,8,314,176,1,0,0,1.466666667,0.066666667,0.0,0.26666666699999997,0.494839221,0.004155698,1
1179,1,1,4,5.0,54,0,0,51,2,25,3,25,3,726,96,1,0,3,0.933333333,0.333333333,0.0,0.133333333,0.030284256000000002,0.038441472000000004,0
1180,1,3,7,29.0,106,1,1,23,17,2,1,2,1,75,26,1,1,0,0.533333333,0.0,0.133333333,1.0,0.045504450999999994,0.123060524,0
1181,0,21,12,41.80952381,35,0,0,13,0,6,2,6,2,163,39,4,2,0,9.0,1.2,0.2,7.6,0.238385975,0.004143044,1
1182,2,14,13,20.78571429,246,57,55,88,30,16,8,16,8,540,327,2,0,9,1.363636364,0.0,0.13636363599999998,1.2727272729999999,0.059420913,0.00427965,0
1183,1,3,4,23.33333333,76,0,0,0,0,9,2,9,2,395,47,1,0,0,0.7333333329999999,0.0,0.066666667,0.533333333,0.070245713,0.016471535,0
1184,2,0,2,0.0,128,56,55,73,22,1,0,1,0,28,0,0,0,0,0.181818182,0.0,0.0,0.0,0.261293858,0.076147616,1
1185,1,0,1,0.0,146,13,13,36,200,81,13,81,13,2364,423,0,0,0,0.066666667,0.0,0.0,0.0,0.9369950290000001,0.35773599100000003,1
1186,1,0,3,0.0,46,0,0,0,20,34,1,34,1,1081,24,0,0,0,0.6,0.0,0.0,0.133333333,0.438855082,0.108368911,1
1187,1,2,8,37.5,208,1,1,1,93,5,3,5,3,171,113,2,1,38,0.7333333329999999,0.2,0.0,0.666666667,0.545112073,0.481137931,1
1188,0,3,7,30.33333333,87,0,0,0,0,73,18,73,18,2562,567,0,0,0,2.0,0.6,0.2,0.8,0.275256336,0.10708457199999999,0
1189,1,2,5,62.5,83,7,7,22,575,27,10,27,10,783,319,0,0,30,0.333333333,0.0,0.066666667,0.7333333329999999,0.060144931,0.327198386,0
1190,1,0,4,0.0,34,0,0,0,0,16,3,15,2,582,121,0,0,0,0.46666666700000003,0.066666667,0.0,0.26666666699999997,0.344993293,0.108368911,0
1191,2,0,3,0.0,82,1,1,1,1,2,2,2,2,67,67,0,0,3,0.5,0.0,0.0,0.22727272699999998,0.051077783,0.21099466100000003,0
1192,0,4,5,52.75,81,2,2,0,0,30,3,30,3,865,97,0,0,0,2.6,1.4,0.4,2.2,0.101147056,0.038925372,0
1193,1,5,5,15.0,58,18,18,268,133,6,2,6,2,192,55,0,0,5,0.6,0.0,0.066666667,0.8,0.134075552,0.011234438000000001,0
1194,2,8,5,41.5,40,1,1,0,0,54,7,54,7,1929,188,0,0,0,0.727272727,0.13636363599999998,0.0,0.454545455,0.231880337,0.182768643,1
1195,1,0,3,0.0,141,0,0,0,15,4,1,4,1,127,70,1,0,0,0.533333333,0.0,0.0,0.0,0.479678541,0.889006376,1
1196,1,1,6,115.0,75,4,4,18,560,22,5,22,5,631,167,0,0,39,0.133333333,0.0,0.066666667,0.7333333329999999,0.059707671,0.327198386,0
1197,1,3,5,31.33333333,44,2,2,0,0,52,13,52,13,1593,421,1,0,0,0.666666667,0.066666667,0.133333333,0.533333333,0.7044798729999999,0.153865367,0
1198,0,0,2,0.0,11,5,5,36,21,0,0,0,0,0,0,1,0,0,3.2,0.0,0.0,0.6,0.557481825,0.231050432,1
1199,0,1,1,53.0,182,2,2,0,0,114,8,114,8,2709,166,0,0,0,0.4,0.0,0.0,0.2,0.912910938,0.038975783,0
1200,0,1,3,20.0,139,6,6,46,22,0,0,0,0,0,0,0,0,0,0.8,0.2,0.2,1.6,0.188858151,0.45235159999999996,0
1201,0,3,3,72.0,59,0,0,0,0,2,2,2,2,43,43,0,0,0,1.4,0.0,0.0,0.8,0.813198745,0.35795906200000005,1
1202,0,0,3,0.0,815,1,1,14,10,7,0,7,0,215,0,0,0,0,5.8,0.0,0.0,1.2,0.539098144,0.009522969000000001,1
1203,0,19,8,42.73684211,101,0,0,0,78,80,11,80,11,2122,278,2,0,0,7.2,1.0,0.6,4.4,0.111020803,0.004183298,0
1204,0,3,6,18.0,61,2,2,0,0,340,47,340,47,8637,1188,0,0,0,2.2,0.2,0.2,0.6,0.096862257,0.235612214,0
